1,568,521.3,525.2,607.3,628.9,648.2,610.8,560.6,620.3,638.2,608.6
2,537.5,614.2,563.3,691.4,680.6,648.7,627.4,467.6,633.9,601.9,599
3,550.9,561,501.3,670,636,631.9,544.8,401.2,595.3,567.6,521.4
4,569.4,542.2,525.4,564,592.8,601.2,550.1,507.9,606.3,625.2,568.3
5,532.6,576.6,545.3,553.5,664.7,640.3,561.6,514.5,634,594.7,578.4
6,578.9,581.9,520.1,580,662.5,665.9,623.4,581.1,665,668.8,616.5
7,552.4,536.6,568.5,625,615.1,611.9,545,414.5,571.1,582.1,539
8,547.6,523.5,502.4,604,614,608.6,565.3,475.9,610.5,598,556
9,554,581.6,496.6,624.3,616.5,595.6,565.2,428.9,603.7,562,548.9
10,594.4,554.9,515,567.3,628.8,615.7,573.1,498.2,645.3,639.8,577.3
11,504.2,467.1,465.5,504,527.2,540.3,515.6,450.4,563.2,518,453.9
12,528,482.7,493.1,543.3,581,562.6,520.3,455.9,594.5,551,446.9
13,534.1,526.7,538.8,621.3,617.7,654.9,593.3,580.7,566.6,606.2,584.6
14,526.1,505.7,540.6,604.6,624.8,606.3,571.4,536.9,542.5,607.3,597.8
15,514.7,518.6,466.2,612.6,550.6,569.5,559.4,466.5,629.2,602.8,501.1
16,489,466.7,453.9,529.1,541.2,564.6,550.6,491.9,581.5,534,453.9
17,478.7,481.4,435.9,509,452.1,478.2,426.3,327.9,482.5,440.4,384.2
18,500.3,475.2,435.4,480.4,542.3,544.2,531.3,487.9,564.7,530.8,469.8
19,508.8,486.8,510.1,583.6,604.4,646.6,588.1,531,530.4,583.5,620.5
20,0,380.6,325.6,400,422.3,431.6,418.7,341.6,394.6,342,359.4
21,416.1,413.2,409.7,472.3,495.3,489.9,484.7,447.5,522.6,506.9,411.4
22,488.1,452.6,493.2,540.2,601.9,647.7,535.3,420.5,556.8,569.1,509.7
23,497.6,465.8,445.9,525.6,549.1,550.2,492.1,396.3,530.4,470.7,438.3
24,554.3,539.5,491.2,601.2,609,580.8,558.2,443,625.4,591.3,489.8
25,0,0,0,0,0,0,0,332.7,602.5,554,494.6
26,553.2,544.8,499.5,641.9,567.7,587.2,521.6,411.1,584,534.4,468.6
27,507.8,523.5,483.6,584.6,549.4,622.1,560.4,557.4,681.1,527.8,513.4
28,535.1,495.1,480.6,474.5,501.9,524.6,478.4,383.6,518,511.3,445
29,538.2,492.2,463.9,483.1,513.2,551.8,497.9,398.2,528.4,501.8,459.6
30,524.1,487.1,471.4,531.6,565.7,583.2,566.4,497,648.7,627.2,546.4
31,552.1,527.7,512.7,528.2,527.2,552.9,534,421.4,603.6,584.9,511
32,529,485.6,501.1,586.6,559,589.8,480.7,354.8,549.3,533,472.1
33,490.7,470.2,442.3,462.1,462.8,472.6,446.2,371.5,483.5,478.8,432.6
34,571.1,536.4,553,578.9,609.7,629,530.3,474.5,603,573.6,457
35,542.6,495.7,499.1,504.9,510.4,515.2,469.8,414.8,550.7,548.8,472.4
36,550.5,548.4,515.3,570.8,607.8,612.5,553.5,503.9,671.4,640.4,554.3
37,540.1,526.1,503.1,587,615.3,639.6,502.5,459.2,604.9,562.3,500.3
38,0,0,0,0,0,0,56.7,458.2,622.8,623.6,513
39,0,0,517.7,514.8,518.9,544.2,468.9,392.3,591.3,603.7,547.8
40,536.9,527,493,485.1,496.9,524.9,486.2,380.4,530.3,587.5,515.1
41,609.4,577.5,557.8,581.4,618.4,605,546.2,485.3,623.5,623.5,557.5
42,553.8,512.7,534.5,589.5,559.1,566.9,523,417.5,574.9,567,534.6
43,553,553.8,520.2,503.2,528.2,543.6,495.9,402.4,561.9,581.3,527.5
44,555.5,512,534.6,588.9,589.1,550.1,531.6,425.7,609,544.2,524.9
45,543.1,485.8,489.6,476.4,514.3,522.4,464.1,356.6,516.9,507.5,462.1
46,528.6,495.7,483.5,456.9,479.4,490.1,450.8,362.4,493.6,489.2,441.2
47,531.9,513,494.1,529.4,564.3,578.6,529.7,419.6,587.2,588.7,535.2
48,527.9,527.4,500.1,534.2,580.9,604.4,380,449.2,588.5,584.8,475.1
49,108.3,563.2,554.7,596.7,637.6,581.5,542.3,415.7,550.2,559.8,524.7
50,543,555.2,520.1,557.8,556,526.5,537.1,382.2,539.2,544.3,502
